id,mes_ano,empresa,valor_faturado,valor_pago,status
AD RASTREAMENTO VEICULAR_06/2026,06/2026,AD RASTREAMENTO VEICULAR,0.00,0.00,Pago
G2 RASTREAMENTO_06/2026,06/2026,G2 RASTREAMENTO,0.00,0.00,Pago
JRS RASTREAMENTO_06/2026,06/2026,JRS RASTREAMENTO,"300,00","300,00",Pago
SEGCOM RASTREAMENTO_06/2026,06/2026,SEGCOM RASTREAMENTO,0.00,0.00,Pendente
AD RASTREAMENTO VEICULAR_07/2026,07/2026,AD RASTREAMENTO VEICULAR,624.80,"624,80",Pago
G2 RASTREAMENTO_07/2026,07/2026,G2 RASTREAMENTO,"33,60","36,97",Pago
JRS RASTREAMENTO_07/2026,07/2026,JRS RASTREAMENTO,"300,00","300,00",Pago
AD RASTREAMENTO VEICULAR_05/2026,05/2026,AD RASTREAMENTO VEICULAR,0.00,0.00,Pago
G2 RASTREAMENTO_05/2026,05/2026,G2 RASTREAMENTO,0.00,0.00,Pago
JRS RASTREAMENTO_05/2026,05/2026,JRS RASTREAMENTO,"300,00","300,00",Pago
AD RASTREAMENTO VEICULAR_08/2026,08/2026,AD RASTREAMENTO VEICULAR,624.80,0.00,Pendente
G2 RASTREAMENTO_08/2026,08/2026,G2 RASTREAMENTO,0.00,0.00,Pendente
JRS RASTREAMENTO_08/2026,08/2026,JRS RASTREAMENTO,"300,00",0.00,Pendente
